1,DEVICE0,METRIC0,0,20260504222738-0500,UNDEFINED,1,0.00
1,DEVICE0,METRIC0,0,20260504222838-0500,UNDEFINED,1,0.8415
1,DEVICE0,METRIC0,0,20260504222938-0500,UNDEFINED,1,0.9093
1,DEVICE0,METRIC0,0,20260504223038-0500,UNDEFINED,1,0.1411
1,DEVICE0,METRIC0,0,20260504223138-0500,UNDEFINED,1,-0.7568
1,DEVICE0,METRIC0,0,20260504223238-0500,UNDEFINED,1,-0.9589
1,DEVICE0,METRIC0,0,20260504223338-0500,UNDEFINED,1,-0.2794
1,DEVICE0,METRIC0,0,20260504223438-0500,UNDEFINED,1,0.657
1,DEVICE0,METRIC0,0,20260504223538-0500,UNDEFINED,1,0.9894
1,DEVICE0,METRIC0,0,20260504223638-0500,UNDEFINED,1,0.4121
1,DEVICE0,METRIC0,0,20260504223738-0500,UNDEFINED,1,-0.544
1,DEVICE0,METRIC0,0,20260504223838-0500,UNDEFINED,1,-1.00
1,DEVICE0,METRIC0,0,20260504223938-0500,UNDEFINED,1,-0.5366
1,DEVICE0,METRIC0,0,20260504224038-0500,UNDEFINED,1,0.4202
1,DEVICE0,METRIC0,0,20260504224138-0500,UNDEFINED,1,0.9906
1,DEVICE0,METRIC0,0,20260504224238-0500,UNDEFINED,1,0.6503
1,DEVICE0,METRIC0,0,20260504224338-0500,UNDEFINED,1,-0.2879
1,DEVICE0,METRIC0,0,20260504224438-0500,UNDEFINED,1,-0.9614
1,DEVICE0,METRIC0,0,20260504224538-0500,UNDEFINED,1,-0.751
1,DEVICE0,METRIC0,0,20260504224638-0500,UNDEFINED,1,0.1499
